Module                         | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs       | Parameters | Calls
-------------------------------|---------------|-----------|----------------|-----------|---------|-----------|-------------|------------|------
VisionTransformer              |               |           |                |           |         |           |             |            |      
   │  │  │  │  ├── 3           | 11.190ms      | 13.364ms  | 30.213ms       | 60.425ms  | 0 b     | 37.94 Mb  | 29.75GFLOPs | 2.36M      | 1    
   │  │  │  │  └── 4           | 883.000us     | 883.000us | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_9   |               |           |                |           |         |           |             |            |      
   │  │  │  ├── ln_1           | 1.351ms       | 3.819ms   | 301.149us      | 602.298us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |           |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 12.311ms      | 12.311ms  | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.161ms       | 3.314ms   | 296.157us      | 592.314us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |           |             |            |      
   │  │  │  │  ├── 0           | 12.046ms      | 14.186ms  | 32.893ms       | 65.787ms  | 0 b     | 149.00 Mb | 29.75GFLOPs | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.370ms       | 2.399ms   | 927.804us      | 1.237ms   | 0 b     | 74.00 Mb  | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 900.500us     | 900.500us | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 11.160ms      | 13.358ms  | 30.161ms       | 60.321ms  | 0 b     | 37.94 Mb  | 29.75GFLOPs | 2.36M      | 1    
   │  │  │  │  └── 4           | 853.500us     | 853.500us | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_10  |               |           |                |           |         |           |             |            |      
   │  │  │  ├── ln_1           | 1.127ms       | 3.162ms   | 307.974us      | 615.948us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |           |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 12.214ms      | 12.214ms  | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
