Module                         | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
-------------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
VisionTransformer              |               |           |                |           |           |          |              |            |      
   │  │     ├── dropout        | 1.100us       | 1.100us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │     ├── ln_2           | 98.600us      | 196.133us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   │  │     └── mlp            |               |           |                |           |           |          |              |            |      
   │  │        ├── 0           | 708.800us     | 1.502ms   | 0.000ns        | 0.000ns   | 3.19 Mb   | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │        ├── 1           | 328.500us     | 328.500us | 0.000ns        | 0.000ns   | 1.59 Mb   | 0 b      | 0 FLOPs      | 0          | 1    
   │  │        ├── 2           | 1.200us       | 1.200us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │        ├── 3           | 743.300us     | 1.574ms   | 0.000ns        | 0.000ns   | 816.00 Kb | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │           └── 4           | 1.300us       | 1.300us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  └── ln                   | 111.100us     | 221.150us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   └── heads                   |               |           |                |           |           |          |              |            |      
      └── head                 | 194.600us     | 396.500us | 0.000ns        | 0.000ns   | 62.50 Kb  | 0 b      | 12.29MFLOPs  | 769.00K    | 1    

