Module                         | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem | FLOPs       | Parameters | Calls
-------------------------------|---------------|-----------|----------------|-----------|---------|----------|-------------|------------|------
VisionTransformer              |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 2           | 849.000us     | 849.000us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.386ms       | 4.537ms   | 3.874ms        | 7.749ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 821.700us     | 821.700us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_7   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.071ms       | 3.148ms   | 60.864us       | 121.728us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.574ms       | 1.574ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.021ms       | 3.010ms   | 61.920us       | 123.840us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.579ms       | 4.656ms   | 4.582ms        | 9.165ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.065ms       | 2.065ms   | 111.933us      | 149.244us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 837.000us     | 837.000us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.389ms       | 4.501ms   | 3.952ms        | 7.905ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 845.200us     | 845.200us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_8   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.047ms       | 3.086ms   | 61.533us       | 123.066us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.709ms       | 1.709ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.084ms       | 3.176ms   | 62.976us       | 125.952us | 0 b     | 14.32 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.448ms       | 4.557ms   | 4.111ms        | 8.222ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.042ms       | 2.031ms   | 107.325us      | 143.100us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 835.000us     | 835.000us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.402ms       | 4.539ms   | 3.999ms        | 7.998ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 839.200us     | 839.200us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_9   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.050ms       | 3.093ms   | 69.408us       | 138.816us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.738ms       | 1.738ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.043ms       | 3.074ms   | 78.429us       | 156.858us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.424ms       | 4.517ms   | 4.102ms        | 8.204ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.076ms       | 2.088ms   | 118.941us      | 158.588us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 854.900us     | 854.900us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.429ms       | 4.560ms   | 3.996ms        | 7.991ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 918.600us     | 918.600us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_10  |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.213ms       | 3.578ms   | 62.688us       | 125.376us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.715ms       | 1.715ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.040ms       | 3.064ms   | 74.781us       | 149.562us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.444ms       | 4.559ms   | 4.124ms        | 8.248ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.079ms       | 2.106ms   | 104.061us      | 138.748us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 831.300us     | 831.300us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.409ms       | 4.524ms   | 3.992ms        | 7.984ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 841.300us     | 841.300us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  └── encoder_layer_11  |               |           |                |           |         |          |             |            |      
   │  │     ├── ln_1           | 1.085ms       | 3.196ms   | 76.608us       | 153.216us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │     ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │     │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │     ├── dropout        | 1.738ms       | 1.738ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │     ├── ln_2           | 1.072ms       | 3.151ms   | 77.280us       | 154.560us | 0 b     | 14.32 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │     └── mlp            |               |           |                |           |         |          |             |            |      
   │  │        ├── 0           | 2.430ms       | 4.522ms   | 4.107ms        | 8.215ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │        ├── 1           | 1.048ms       | 2.045ms   | 116.739us      | 155.652us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │        ├── 2           | 834.900us     | 834.900us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │        ├── 3           | 2.362ms       | 4.416ms   | 3.957ms        | 7.915ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │           └── 4           | 851.200us     | 851.200us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  └── ln                   | 1.060ms       | 3.119ms   | 61.920us       | 123.840us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   └── heads                   |               |           |                |           |         |          |             |            |      
      └── head                 | 1.065ms       | 3.126ms   | 47.520us       | 95.040us  | 0 b     | 1.06 Mb  | 12.29MFLOPs | 769.00K    | 1    

